"Variable","Valor_normalizado"
"TASA_MATRICULACIÓN_5_16",0.514790626200538
"COBERTURA_NETA",0.521448128993003
"COBERTURA_NETA_TRANSICIÓN",0.617162162162162
"COBERTURA_NETA_PRIMARIA",0.493130447628896
"COBERTURA_NETA_SECUNDARIA",0.561869719269556
"COBERTURA_NETA_MEDIA",0.634228187919463
"COBERTURA_BRUTA",0.464085646707332
"COBERTURA_BRUTA_TRANSICIÓN",0.481603679264147
"COBERTURA_BRUTA_PRIMARIA",0.434234234234234
"COBERTURA_BRUTA_SECUNDARIA",0.475627167040587
"COBERTURA_BRUTA_MEDIA",0.548418024928092
"DESERCIÓN",0.503008423586041
"DESERCIÓN_TRANSICIÓN",0.589285714285714
"DESERCIÓN_PRIMARIA",0.477207977207977
"DESERCIÓN_SECUNDARIA",0.436619718309859
"DESERCIÓN_MEDIA",0.476923076923077
"APROBACIÓN",0.517006802721088
"APROBACIÓN_PRIMARIA",0.614651578320429
"APROBACIÓN_SECUNDARIA",0.533951639615767
"APROBACIÓN_MEDIA",0.585753424657534
"REPROBACIÓN",0.335771276595745
"REPROBACIÓN_PRIMARIA",0.246640316205534
"REPROBACIÓN_SECUNDARIA",0.381430363864492
"REPROBACIÓN_MEDIA",0.2824
"REPITENCIA",0.729890764647468
"REPITENCIA_TRANSICIÓN",0.763265306122449
"REPITENCIA_PRIMARIA",0.779678068410463
"REPITENCIA_SECUNDARIA",0.673036093418259
"REPITENCIA_MEDIA",0.663533834586466
"POBLACIÓN_5_16",0.177133591612044
"TASA_MATRICULACIÓN_5_16",0.0866948392880009
"COBERTURA_NETA",0.0129297231518101
"COBERTURA_NETA_TRANSICIÓN",0.368648648648649
"COBERTURA_NETA_PRIMARIA",0.0429901019352933
"COBERTURA_NETA_SECUNDARIA",0.0722267647860452
"COBERTURA_NETA_MEDIA",0.33673767143274
"COBERTURA_BRUTA",0.0263911365616831
"COBERTURA_BRUTA_TRANSICIÓN",0.299540091981604
"COBERTURA_BRUTA_PRIMARIA",0.0916799152093269
"COBERTURA_BRUTA_SECUNDARIA",0.0189679787884968
"COBERTURA_BRUTA_MEDIA",0.257813998082454
"DESERCIÓN",0.462093862815884
"DESERCIÓN_TRANSICIÓN",0.341386554621849
"DESERCIÓN_PRIMARIA",0.588319088319088
"DESERCIÓN_SECUNDARIA",0.361795774647887
"DESERCIÓN_MEDIA",0.315976331360947
"APROBACIÓN",0.497121925693355
"APROBACIÓN_PRIMARIA",0.59261465157832
"APROBACIÓN_SECUNDARIA",0.431931103014243
