"Fila","Mahalanobis"
919,42.4276543309125
920,26.5742230212403
921,19.9242867641594
922,37.9019845035172
923,35.7227103615178
924,31.4322231670801
925,26.4463977524513
926,27.3956099370402
927,18.5769513348004
928,37.437710226063
929,56.4184858478674
930,60.3293060970449
931,30.9853899375518
932,29.1996053657001
933,62.0690878657144
934,37.5816134033464
935,46.7739812632515
936,24.9769123750846
937,46.1445314033673
938,46.6722671273767
939,24.1277075294416
940,27.5541742589822
941,30.5462920570598
942,22.5591472730211
943,16.315694554407
944,15.6824743660289
945,28.0405761951804
946,29.7606171402589
947,36.9517859928067
948,47.9522550523849
949,49.32345960717
950,20.816050379904
951,25.1991667126791
952,18.0890261900241
953,89.5125768511458
954,54.0938298005938
955,26.2865706433698
956,33.1523870891652
957,11.8338970081552
958,30.9773236255425
959,16.876526028497
960,26.9117091146276
961,60.7844159466121
962,24.037143082596
963,20.69896504692
964,34.03103731276
965,35.5739298851866
966,19.9155524079454
967,67.2274584239274
968,35.5551962844591
969,17.134443133233
970,12.7525679683596
971,35.6077086202825
972,53.8912819680493
973,27.7032706179514
974,32.5270150645475
975,22.5394836383238
976,23.6335794302275
977,20.8948028428593
978,26.0037055454072
979,8.15717254504661
980,27.8841808404766
981,25.2189443076749
982,33.6355680992456
983,20.8271110322131
984,25.426431413524
985,33.5793268176727
986,27.6774223401006
987,29.7278310458122
988,28.5212827167494
989,9.00622464018102
990,13.6588418974423
991,49.0530517942077
992,32.7788827769687
993,15.9197037405759
994,16.5611004039912
995,18.1580510225385
996,17.5473501500121
997,23.0374912129781
998,51.8795808960994
999,14.4407866913834
1000,11.6983254856559
1001,12.8436199658529
1002,23.1651253850467
1003,30.2253376630871
1004,38.2650415821891
1005,29.3526429524475
1006,32.0117556621754
1007,42.3385345716962
1008,25.2301547945794
1009,27.2850290621191
1010,32.9439727346504
1011,43.1271138916676
1012,45.7701493827893
1013,35.6631347406471
1014,28.8954281218832
1015,56.8096927043431
1016,29.29156260609
1017,42.9930734859629
1018,43.6989811595879
1019,54.3530929324348
1020,15.3498595054351
1021,55.2138237039014
1022,23.7996469776888
1023,32.5565501606845
1024,22.8121159416231
1025,13.2320013543164
